file,mean,std,min,max
C1_background_1.bin,-7.725151797244169,0.9931382005079373,-14.9,0.2999999999999998
C1_background_10.bin,-7.724896328222887,1.0616144899775728,-15.7,0.4999999999999991
C1_background_11.bin,-7.725213204220003,1.034260400408398,-16.7,1.1000000000000005
C1_background_12.bin,-7.729712635355371,1.0488082987181284,-14.9,-0.10000000000000053
C1_background_13.bin,-7.733316484752675,1.051068991592288,-15.3,-0.10000000000000053
C1_background_14.bin,-7.731715022826596,1.0828069506076328,-15.7,1.1000000000000005
C1_background_15.bin,-7.729008275340075,1.0625722906021373,-15.100000000000001,-0.10000000000000053
C1_background_16.bin,-7.720659726944985,1.0637104362962535,-14.9,-0.5
C1_background_17.bin,-7.720659726944985,1.0637104362962535,-14.9,-0.5
C1_background_18.bin,-7.718966414584697,1.0555532484288774,-15.899999999999999,-0.10000000000000053
C1_background_19.bin,-7.735631887782449,1.0734683162400547,-15.7,0.2999999999999998
C1_background_2.bin,-7.727851243901304,0.9745102805390644,-15.3,-0.2999999999999998
C1_background_20.bin,-7.729935780704698,1.0636718411356012,-15.3,0.7000000000000002
C1_background_21.bin,-7.735803867319321,1.0465665153050914,-15.7,0.2999999999999998
C1_background_22.bin,-7.730752133442364,1.076476614523313,-16.1,1.1000000000000005
C1_background_23.bin,-7.729856871740642,1.0713765052332453,-15.3,1.8999999999999995
C1_background_24.bin,-7.730625199022609,1.0938002608603619,-15.899999999999999,-0.2999999999999998
C1_background_25.bin,-7.729532374877789,1.0696853285265453,-16.1,0.2999999999999998
C1_background_26.bin,-7.729264084399988,1.074299817878121,-15.3,0.09999999999999964
C1_background_27.bin,-7.72855592395295,1.0232465718741441,-14.9,-0.2999999999999998
C1_background_28.bin,-7.723327289980141,1.0245430278729586,-16.1,0.09999999999999964
C1_background_29.bin,-7.736089399755808,1.0138101254718461,-16.3,-0.10000000000000053
C1_background_3.bin,-7.726531794011801,1.0008489740427544,-14.9,0.09999999999999964
C1_background_30.bin,-7.722438749041879,1.0269606690502113,-14.9,-0.10000000000000053
C1_background_31.bin,-7.72382238622307,1.0274727120089793,-15.7,-0.2999999999999998
C1_background_32.bin,-7.72775125254229,1.0350824962432998,-15.100000000000001,0.4999999999999991
C1_background_33.bin,-7.721676062400687,1.0161851665530282,-15.100000000000001,0.7000000000000002
C1_background_34.bin,-7.728339019312601,1.0376170712570971,-15.7,1.1000000000000005
C1_background_35.bin,-7.72804454586041,1.0685103216809966,-15.100000000000001,-0.10000000000000053
C1_background_36.bin,-7.7320979063221635,1.0558855247776002,-15.100000000000001,-0.10000000000000053
C1_background_37.bin,-7.7267237958232124,1.0882138935256367,-16.1,-0.10000000000000053
C1_background_38.bin,-7.734476436523191,1.067391621504531,-15.899999999999999,-0.10000000000000053
C1_background_39.bin,-7.7252051633065495,1.0764682985461984,-16.9,0.2999999999999998
C1_background_4.bin,-7.720674268596915,1.0104162004142265,-15.3,-0.2999999999999998
C1_background_40.bin,-7.731151478807993,1.0676710142537413,-15.5,0.2999999999999998
C1_background_41.bin,-7.739311265759792,1.0286340139857413,-15.3,-0.7000000000000002
C1_background_42.bin,-7.736794659873358,1.0466023034365866,-14.7,-0.2999999999999998
C1_background_43.bin,-7.7312400488695525,1.0186123827542302,-16.5,-1.1000000000000005
C1_background_44.bin,-7.730391452468998,1.0076962061301575,-15.3,-0.10000000000000053
C1_background_45.bin,-7.732294788687995,1.0270893218996489,-16.9,-0.5
C1_background_46.bin,-7.724481021043992,1.030324806045761,-14.9,-0.7000000000000002
C1_background_47.bin,-7.722676636065846,1.0213942360126675,-15.100000000000001,-0.9000000000000004
C1_background_48.bin,-7.734010643609112,1.0378751927527476,-15.3,-1.1000000000000005
C1_background_49.bin,-7.726945320988458,1.0137755271820492,-15.3,0.4999999999999991
C1_background_5.bin,-7.721893347084228,1.0547444686755323,-15.7,-0.10000000000000053
C1_background_50.bin,-7.730126602382042,0.9969903009352957,-15.100000000000001,-0.2999999999999998
C1_background_51.bin,-7.723004513312709,1.02533651737674,-14.9,-1.1000000000000005
C1_background_52.bin,-7.71500130414816,1.0046813328248154,-14.9,-0.2999999999999998
C1_background_53.bin,-7.720220557055274,1.056289816533778,-15.5,-0.10000000000000053
C1_background_6.bin,-7.718084274373568,1.0599944791378113,-15.7,0.8999999999999995
C1_background_7.bin,-7.719416105669608,1.057996436931647,-15.3,0.09999999999999964
C1_background_8.bin,-7.734586849066057,1.0634103090333629,-17.5,0.7000000000000002
C1_background_9.bin,-7.7104437064050355,1.0620569392478099,-15.3,0.09999999999999964
C1_background_day2_1.bin,-7.695098203155876,1.0983865385995477,-15.3,0.2999999999999998
C1_background_day2_10.bin,-7.6859846678582695,1.1076100330250167,-18.3,-0.10000000000000053
C1_background_day2_11.bin,-7.697708339667386,1.1090038919461693,-15.899999999999999,-0.10000000000000053
C1_background_day2_12.bin,-7.708481283473809,1.0968073336958069,-16.1,0.2999999999999998
C1_background_day2_13.bin,-7.691954586040971,1.0931945385464488,-15.899999999999999,-0.7000000000000002
C1_background_day2_14.bin,-7.688179537195419,1.120448532744788,-15.899999999999999,0.09999999999999964
C1_background_day2_15.bin,-7.698207996428377,1.1246470886006845,-16.1,0.7000000000000002
C1_background_day2_16.bin,-7.69762815055789,1.1106921806450911,-15.5,0.7000000000000002
C1_background_day2_17.bin,-7.694191620168063,1.116320817558525,-15.5,-0.10000000000000053
C1_background_day2_18.bin,-7.6889996503602775,1.1279282310875154,-15.899999999999999,-0.5
C1_background_day2_19.bin,-7.683134124036477,1.1041365795499165,-16.3,1.4999999999999991
C1_background_day2_2.bin,-7.698611882309829,1.1038213687202862,-15.5,-0.7000000000000002
C1_background_day2_20.bin,-7.680790817836906,1.0719188629647922,-15.5,-0.2999999999999998
C1_background_day2_21.bin,-7.7006642754616905,1.0859064025415228,-15.899999999999999,0.8999999999999995
C1_background_day2_22.bin,-7.705685285848486,1.1054988932219996,-16.5,0.09999999999999964
C1_background_day2_23.bin,-7.700693258754206,1.1049581337663097,-16.5,0.09999999999999964
C1_background_day2_24.bin,-7.709739966460191,1.1104753983351332,-15.7,-0.10000000000000053
C1_background_day2_25.bin,-7.705536868988331,1.1031767281985014,-16.1,-0.10000000000000053
C1_background_day2_26.bin,-7.693175724762338,1.105547616574886,-16.1,0.2999999999999998
C1_background_day2_27.bin,-7.711625000600072,1.0993250047506287,-16.5,-0.5
C1_background_day2_28.bin,-7.7096038309952055,1.1083604929366335,-15.3,0.4999999999999991
C1_background_day2_29.bin,-7.702961336407822,1.0695383209175255,-16.3,-0.10000000000000053
C1_background_day2_3.bin,-7.697844275109646,1.0690880339850433,-15.5,-0.5
C1_background_day2_30.bin,-7.69357643028247,1.060934392189356,-18.9,-0.5
C1_background_day2_31.bin,-7.713729639687063,1.1097173143129795,-16.1,-0.9000000000000004
C1_background_day2_32.bin,-7.710165414791122,1.0786544456682998,-15.7,-0.2999999999999998
C1_background_day2_33.bin,-7.697981050647344,1.0690754025186107,-15.5,0.09999999999999964
C1_background_day2_34.bin,-7.707315391028418,1.0972246982295666,-15.7,-0.5
C1_background_day2_35.bin,-7.705503565205011,1.0516643987435121,-16.3,-0.2999999999999998
C1_background_day2_36.bin,-7.697420386955943,1.104688108246503,-15.3,-0.5
C1_background_day2_37.bin,-7.70165280775896,1.0701514182534309,-15.5,0.4999999999999991
C1_background_day2_38.bin,-7.709455994200941,1.0831348261868332,-17.1,0.09999999999999964
C1_background_day2_39.bin,-7.723049918470732,1.0824651653687518,-15.899999999999999,-0.2999999999999998
C1_background_day2_4.bin,-7.701374456138217,1.0920561784696343,-15.3,-0.5
C1_background_day2_40.bin,-7.717150728322729,1.101445164929252,-15.7,-0.7000000000000002
C1_background_day2_41.bin,-7.702277238694325,1.1066874460207627,-15.899999999999999,0.2999999999999998
C1_background_day2_42.bin,-7.701612163141741,1.0898055006386127,-16.7,-0.5
C1_background_day2_43.bin,-7.701858371110951,1.138723268801825,-15.3,0.09999999999999964
C1_background_day2_44.bin,-7.714638842972555,1.1223311571338137,-16.1,-0.5
C1_background_day2_45.bin,-7.707433264418835,1.127969816947249,-17.9,-0.10000000000000053
C1_background_day2_46.bin,-7.713737900625513,1.0836662086143645,-15.899999999999999,0.09999999999999964
C1_background_day2_47.bin,-7.7138067084420685,1.1044886584077476,-15.3,0.4999999999999991
C1_background_day2_48.bin,-7.710483290901852,1.1162827314776282,-15.899999999999999,-0.10000000000000053
C1_background_day2_49.bin,-7.709009423470509,1.1176148375258326,-15.3,-0.10000000000000053
C1_background_day2_5.bin,-7.698965222449275,1.1593454347405474,-16.5,-0.10000000000000053
C1_background_day2_50.bin,-7.717735954804457,1.1055206351855387,-16.1,-0.2999999999999998
C1_background_day2_51.bin,-7.70571988977947,1.112638755122933,-15.5,0.2999999999999998
C1_background_day2_52.bin,-7.71526713434646,1.085021201209336,-18.7,0.4999999999999991
C1_background_day2_53.bin,-7.733062135858651,1.1286096909323293,-15.899999999999999,0.2999999999999998
C1_background_day2_54.bin,-7.733062135858651,1.1286096909323293,-15.899999999999999,0.2999999999999998
C1_background_day2_6.bin,-7.698527172686807,1.1176541372686202,-15.7,0.8999999999999995
C1_background_day2_7.bin,-7.681457993628076,1.0968487163758631,-15.7,0.4999999999999991
C1_background_day2_8.bin,-7.685232562419102,1.1135671686870967,-16.1,1.7000000000000002
C1_background_day2_9.bin,-7.690993796895314,1.085632150481,-15.899999999999999,0.09999999999999964
C1_corona_1.bin,-7.719139574255656,1.3262480240112435,-18.1,1.7000000000000002
